date,ticker,name,open,high,low,close,volume,return
2017-07-20,KOSDAQ,KOSDAQ 종합지수,674.0599975585938,677.5900268554688,672.3699951171875,676.510009765625,569900,0.007415871593954293
2017-07-21,KOSDAQ,KOSDAQ 종합지수,677.8400268554688,678.1500244140625,674.5999755859375,676.5999755859375,523700,0.00013298520201310282
2017-07-24,KOSDAQ,KOSDAQ 종합지수,678.5900268554688,679.4600219726562,676.6300048828125,677.3200073242188,529200,0.0010641911975501905
2017-07-25,KOSDAQ,KOSDAQ 종합지수,678.7000122070312,679.47998046875,670.0999755859375,670.469970703125,677800,-0.010113442017097851
2017-07-26,KOSDAQ,KOSDAQ 종합지수,672.4299926757812,672.6300048828125,664.1300048828125,667.219970703125,593900,-0.004847346103497685
2017-07-27,KOSDAQ,KOSDAQ 종합지수,669.219970703125,670.5999755859375,664.530029296875,666.47998046875,527900,-0.0011090648764532363
2017-07-28,KOSDAQ,KOSDAQ 종합지수,665.0800170898438,665.0800170898438,651.8400268554688,652.9500122070312,559700,-0.020300637165729718
2017-07-31,KOSDAQ,KOSDAQ 종합지수,648.8400268554688,651.8300170898438,643.77001953125,650.469970703125,504700,-0.0037982103645629595
2017-08-01,KOSDAQ,KOSDAQ 종합지수,650.8900146484375,655.0700073242188,649.7000122070312,653.1199951171875,487800,0.004074014994416952
2017-08-02,KOSDAQ,KOSDAQ 종합지수,654.8499755859375,658.280029296875,654.8300170898438,657.52001953125,494700,0.0067369311106040275
2017-08-03,KOSDAQ,KOSDAQ 종합지수,658.7000122070312,658.9400024414062,641.6300048828125,643.0900268554688,528200,-0.02194608870779091
2017-08-04,KOSDAQ,KOSDAQ 종합지수,644.7999877929688,648.3400268554688,638.8699951171875,641.5800170898438,459100,-0.0023480534646269646
2017-08-07,KOSDAQ,KOSDAQ 종합지수,643.3599853515625,650.010009765625,642.8200073242188,648.3900146484375,455700,0.010614416560982276
2017-08-08,KOSDAQ,KOSDAQ 종합지수,650.780029296875,651.9099731445312,645.72998046875,651.6699829101562,607600,0.005058634753185132
